Q105353098	YRUNQVZUGKDPML-TWGUMGITSA-N
Q106026868	XKHLBBQNPSOGPI-GUBZILKMSA-N
Q106026870	XLXPYSDGMXTTNQ-DKIMLUQUSA-N
Q106026872	LRAUKBMYHHNADU-DKIMLUQUSA-N
Q106026875	MCYJBCKCAPERSE-FXQIFTODSA-N
Q106026877	SVZFKLBRCYCIIY-CYDGBPFRSA-N
Q106026878	VKKYFICVTYKFIO-CIUDSAMLSA-N
Q106026879	XHBYEMIUENPZLY-GMOBBJLQSA-N
Q106026880	YYOVLDPHIJAOSY-DCAQKATOSA-N
Q106026882	VBFJESQBIWCWRL-DCAQKATOSA-N
Q106026885	BJECXJHLUJXPJQ-PYJNHQTQSA-N
Q106026887	SBVJJNJLFWSJOV-UBHSHLNASA-N
Q106026895	FQYQMFCIJNWDQZ-CYDGBPFRSA-N
Q106026896	KTNGVMMGIQWIDV-OSUNSFLBSA-N
Q106026906	UISQLSIBJKEJSS-GUBZILKMSA-N
Q106026919	KMSHNDWHPWXPEC-BQBZGAKWSA-N
Q106026929	XDVKZSJODLMNLJ-GGQYPGDFSA-N
Q106026940	GIVWETPOBCRTND-DCAQKATOSA-N
Q106026944	IPFKIGNDTUOFAF-CYDGBPFRSA-N
Q106026950	OBFTYSPXDRROQO-SRVKXCTJSA-N
Q106026952	DLEBSGAVWRPTIX-PEDHHIEDSA-N
Q106026954	UYODHPPSCXBNCS-XUXIUFHCSA-N
Q106026956	WIYDLTIBHZSPKY-HJWJTTGWSA-N
Q106026962	CZCSUZMIRKFFFA-CIUDSAMLSA-N
Q106026964	CQQGCWPXDHTTNF-GUBZILKMSA-N
Q106026979	SUPVSFFZWVOEOI-CQDKDKBSSA-N
Q106026985	PNIGSVZJNVUVJA-BQBZGAKWSA-N
Q106026993	HBJZFCIVFIBNSV-DCAQKATOSA-N
Q106027008	BMNVSPMWMICFRV-DCAQKATOSA-N
Q106027021	WXHFZJFZWNCDNB-KKUMJFAQSA-N
Q106027023	BPANDPNDMJHFEV-CIUDSAMLSA-N
Q106027027	YKNBJXOJTURHCU-DCAQKATOSA-N
Q106027031	MYGQXVYRZMKRDB-SRVKXCTJSA-N
Q106027036	PPBKJAQJAUHZKX-SRVKXCTJSA-N
Q106027037	OGSQONVYSTZIJB-WDSOQIARSA-N
Q106027038	VQPPIMUZCZCOIL-GUBZILKMSA-N
Q106027039	PZBSKYJGKNNYNK-ULQDDVLXSA-N
Q106027043	FQZPTCNSNPWHLJ-AVGNSLFASA-N
Q106027044	BNYNOWJESJJIOI-XUXIUFHCSA-N
Q106027045	CLICCYPMVFGUOF-IHRRRGAJSA-N
Q106027050	KUEVMUXNILMJTK-JYJNAYRXSA-N
Q106027051	XKDYWGLNSCNRGW-WDSOQIARSA-N
Q106027056	QVFGXCVIXXBFHO-AVGNSLFASA-N
Q106027059	OISWSORSLQOGFV-AVGNSLFASA-N
Q106027064	LAPSXOAUPNOINL-YUMQZZPRSA-N
Q106027067	KGCLIYGPQXUNLO-IUCAKERBSA-N
Q106027071	GSUFZRURORXYTM-STQMWFEESA-N
Q106027075	XFXZKCRBBOVJKS-BVSLBCMMSA-N
Q106027081	XQXGNBFMAXWIGI-MXAVVETBSA-N
Q106027082	DNBMCNQKNOKOSD-DCAQKATOSA-N
Q106027088	OWSMKCJUBAPHED-JYJNAYRXSA-N
Q106027099	FOBUGKUBUJOWAD-IHPCNDPISA-N
Q106027101	WXUOJXIGOPMDJM-SRVKXCTJSA-N
Q106027112	JBQORRNSZGTLCV-WDSOQIARSA-N
Q106027117	IBSGMIPRBMPMHE-IHRRRGAJSA-N
Q106027122	NMTANZXPDAHUKU-ULQDDVLXSA-N
Q106027134	UCBPDSYUVAAHCD-UWVGGRQHSA-N
Q106027135	KWLWZYMNUZJKMZ-IHRRRGAJSA-N
Q106027139	IZPVWNSAVUQBGP-CIUDSAMLSA-N
Q106027141	SLKLLQWZQHXYSV-CIUDSAMLSA-N
Q106027145	IARGXWMWRFOQPG-GCJQMDKQSA-N
Q106027149	QEYJFBMTSMLPKZ-ZKWXMUAHSA-N
Q106027155	ZDJQVSIPFLMNOX-RHYQMDGZSA-N
Q106027176	IDGRADDMTTWOQC-WDSOQIARSA-N
Q106027181	HOMFINRJHIIZNJ-HOCLYGCPSA-N
Q106027184	DAPLJWATMAXPPZ-CIUDSAMLSA-N
Q106027208	RFLVTVBAESPKKR-ZLUOBGJFSA-N
Q106027215	NTXYXFDMIHXTHE-WDSOQIARSA-N
Q106027229	XWFPGQVLOVGSLU-CIUDSAMLSA-N
Q106027236	WQWZXKWOEVSGQM-DCAQKATOSA-N
Q106027243	UWKNTTJNVSYXPC-CIUDSAMLSA-N
Q106027249	IRNSXVOWSXSULE-DCAQKATOSA-N
Q106027254	CLBGMWIYPYAZPR-AVGNSLFASA-N
Q106027256	VHNOAIFVYUQOOY-XUXIUFHCSA-N
Q106027259	YNNPKXBBRZVIRX-IHRRRGAJSA-N
Q106027265	OLGCWMNDJTWQAG-GUBZILKMSA-N
Q106027281	DFXQCCBKGUNYGG-GUBZILKMSA-N
Q106027283	YFGWNAROEYWGNL-GUBZILKMSA-N
Q106027299	DCRWPTBMWMGADO-AVGNSLFASA-N
Q106027306	DTUZCYRNEJDKSR-NHCYSSNCSA-N
Q106027307	GQFDWEDHOQRNLC-QWRGUYRKSA-N
Q106027309	KNENKKKUYGEZIO-FXQIFTODSA-N
Q106027311	HGGIYWURFPGLIU-FXQIFTODSA-N
Q106027324	OSZBYGVKAFZWKC-FXQIFTODSA-N
Q106027327	SZNGQSBRHFMZLT-IHRRRGAJSA-N
Q106027345	BEGQVWUZFXLNHZ-IHPCNDPISA-N
Q106027354	OBZHNHBAAVEWKI-DCAQKATOSA-N
Q106027356	CNGOEHJCLVCJHN-SRVKXCTJSA-N
Q106027357	QBHGXFQJFPWJIH-XUXIUFHCSA-N
Q106027359	UQJOKDAYFULYIX-AVGNSLFASA-N
Q106027388	ILJQISGMGXRZQQ-IHRRRGAJSA-N
Q106027393	XYBJLTKSGFBLCS-QXEWZRGKSA-N
Q106027397	KDBDVESGGJYVEH-PMVMPFDFSA-N
Q106027412	VPSHHQXIWLGVDD-ZLUOBGJFSA-N
Q106027418	OHXUUQDOBQKSNB-AVGNSLFASA-N
Q106027419	TVVYVAUGRHNTGT-UGYAYLCHSA-N
Q106027426	XABXVVSWUVCZST-GVXVVHGQSA-N
Q106027454	FMWHSNJMHUNLAG-FXQIFTODSA-N
Q106027459	LMKSBGIUPVRHEH-FXQIFTODSA-N
Q106027463	QEVRUYFHWJJUHZ-DCAQKATOSA-N
Q106027471	DLAFCQWUMFMZSN-GUBZILKMSA-N
Q106027475	PJWDQHNOJIBMRY-JYJNAYRXSA-N
Q106027476	GHODABZPVZMWCE-FXQIFTODSA-N
Q106027477	DCHHUGLTVLJYKA-FXQIFTODSA-N
Q106027483	DTNUIAJCPRMNBT-WHFBIAKZSA-N
Q106027491	PSLSTUMPZILTAH-BYULHYEWSA-N
Q106027494	PZXPWHFYZXTFBI-YUMQZZPRSA-N
Q106027495	XMMWDTUFTZMQFD-GMOBBJLQSA-N
Q106027496	PGUYEUCYVNZGGV-QWRGUYRKSA-N
Q106027509	SCQIQCWLOMOEFP-DCAQKATOSA-N
Q106027512	OEDJQRXNDRUGEU-SRVKXCTJSA-N
Q106027516	CJUKAWUWBZCTDQ-SRVKXCTJSA-N
Q106027519	ORRJQLIATJDMQM-HJGDQZAQSA-N
Q106027522	VSMYBNPOHYAXSD-GUBZILKMSA-N
Q106027530	JACAKCWAOHKQBV-UWVGGRQHSA-N
Q106027538	XFQOQUWGVCVYON-DCAQKATOSA-N
Q106027543	NHDMNXBBSGVYGP-PYJNHQTQSA-N
Q106027550	UCHSVZYJKJLPHF-BZSNNMDCSA-N
Q106027554	ZKAOJVJQGVUIIU-GUBZILKMSA-N
Q106027558	AHWRSSLYSGLBGD-CIUDSAMLSA-N
Q106027562	OSZTUONKUMCWEP-XUXIUFHCSA-N
Q106027569	KGHLGJAXYSVNJP-WHFBIAKZSA-N
Q106027576	MJJIHRWNWSQTOI-VEVYYDQMSA-N
Q106027577	VBGGTAPDGFQMKF-AVGNSLFASA-N
Q106027582	GCACQYDBDHRVGE-LKXGYXEUSA-N
Q106027583	JDDYEZGPYBBPBN-JRQIVUDYSA-N
Q106027586	IHZFGJLKDYINPV-XIRDDKMYSA-N
Q106027587	LNXGEYIEEUZGGH-JYJNAYRXSA-N
Q106027589	OTKUAVXGMREHRX-CFMVVWHZSA-N
Q106027590	WOKXEQLPBLLWHC-IHRRRGAJSA-N
Q106027597	XIGAHPDZLAYQOS-SRVKXCTJSA-N
Q106027606	RKXVTTIQNKPCHU-KKHAAJSZSA-N
Q106027617	KKZHXOOZHFABQQ-UWJYBYFXSA-N
Q106027619	RRIJEABIXPKSGP-FXQIFTODSA-N
Q106027620	QQPMHUCGDRJFQK-RHYQMDGZSA-N
Q106027634	CONKYWFMLIMRLU-BVSLBCMMSA-N
Q106027636	OIMUAKUQOUEPCZ-WHFBIAKZSA-N
Q106027642	CPTUXCUWQIBZIF-ZLUOBGJFSA-N
Q106027644	UUERSUCTHOZPMG-SRVKXCTJSA-N
Q106027653	XRTISHJEPHMBJG-SRVKXCTJSA-N
Q106027658	JVTMTFMMMHAPCR-UBHSHLNASA-N
Q106027664	JNRFYJZCMHHGMH-UBHSHLNASA-N
Q106027665	LBSARGIQACMGDF-WBAXXEDZSA-N
Q106027694	DZIGZIIJIGGANI-FXQIFTODSA-N
Q106027708	ZENDEDYRYVHBEG-SRVKXCTJSA-N
Q106027718	IQXOZIDWLZYYAW-IHRRRGAJSA-N
Q106027719	QPQDWBAJWOGAMJ-IHPCNDPISA-N
Q106027727	UVZFZTWNHOQWNK-NAKRPEOUSA-N
Q106027729	CTNODEMQIKCZGQ-JYJNAYRXSA-N
Q106027735	MPFGIYLYWUCSJG-AVGNSLFASA-N
Q106027754	HGNGAMWHGGANAU-WHOFXGATSA-N
Q106027758	XSQAWJCVYDEWPT-GUBZILKMSA-N
Q106027761	WFHRXJOZEXUKLV-IRXDYDNUSA-N
Q106027766	MTNUYDIILCWPEP-GUBZILKMSA-N
Q106027784	DQUWSUWXPWGTQT-DCAQKATOSA-N
Q106027792	LRBSWBVUCLLRLU-BZSNNMDCSA-N
Q106027793	KPEIBEPEUAZWNS-ULQDDVLXSA-N
Q106027801	LKHMGNHQULEPFY-ACZMJKKPSA-N
Q106027803	NXQCSPVUPLUTJH-WHFBIAKZSA-N
Q106027805	CJAHQEZWDZNSJO-KKUMJFAQSA-N
Q106027809	KLXQWABNAWDRAY-ACRUOGEOSA-N
Q106027815	WURZLPSMYZLEGH-UNQGMJICSA-N
Q106027833	QAFSMQPTMRDQCK-BPUTZDHNSA-N
Q106027837	AXIOGMQCDYVTNY-ACRUOGEOSA-N
Q106027849	UEMWZFHQKFYFKZ-NYVOZVTQSA-N
Q106027869	WWPAHTZOWURIMR-ULQDDVLXSA-N
Q106027874	ZVRJWDUPIDMHDN-ULQDDVLXSA-N
Q106027880	WEDZFLRYSIDIRX-IHRRRGAJSA-N
Q106027908	KWUSGAIFNHQCBY-DCAQKATOSA-N
Q106027910	YTGGLKWSVIRECD-JBACZVJFSA-N
Q106027915	ZVJGAXNBBKPYOE-HKUYNNGSSA-N
Q106027922	YCEWAVIRWNGGSS-NQCBNZPSSA-N
Q106027926	WDOCBGZHAQQIBL-IHPCNDPISA-N
Q106027938	APMXLWHMIVWLLR-BZSNNMDCSA-N
Q106027946	JTKGCYOOJLUETJ-ULQDDVLXSA-N
Q106027948	RGMLUHANLDVMPB-ULQDDVLXSA-N
Q106027950	VDTYRPWRWRCROL-UFYCRDLUSA-N
Q106027954	UZMWDBOHAOSCCH-ACZMJKKPSA-N
Q106027964	XQLBWXHVZVBNJM-FXQIFTODSA-N
Q106027966	COYGBRTZEVWZBW-XKBZYTNZSA-N
Q106027980	UVKNEILZSJMKSR-FXQIFTODSA-N
Q106027987	SNLOOPZHAQDMJG-CIUDSAMLSA-N
Q106027994	IKFZXRLDMYWNBU-YUMQZZPRSA-N
Q106027996	CJZTUKSFZUSNCC-FXQIFTODSA-N
Q106028005	VGTDBGYFVWOQTI-RYUDHWBXSA-N
Q106028006	JXFLPKSDLDEOQK-JHEQGTHGSA-N
Q106028014	ODPIUQVTULPQEP-CIUDSAMLSA-N
Q106028019	KIPIKSXPPLABPN-CIUDSAMLSA-N
Q106028029	IHSGESFHTMFHRB-GUBZILKMSA-N
Q106028033	VYWNORHENYEQDW-YUMQZZPRSA-N
Q106028036	HAAQQNHQZBOWFO-LURJTMIESA-N
Q106028037	WSRWHZRUOCACLJ-UWVGGRQHSA-N
Q106028052	XFFIGWGYMUFCCQ-ULQDDVLXSA-N
Q106028056	XYHMFGGWNOFUOU-QXEWZRGKSA-N
Q106028058	CFVRJNZJQHDQPP-CYDGBPFRSA-N
Q106028062	FMLRRBDLBJLJIK-DCAQKATOSA-N
Q106028068	CPRLKHJUFAXVTD-ULQDDVLXSA-N
Q106028076	SYTFJIQPBRJSOK-NKIYYHGXSA-N
Q106028078	AJBQTGZIZQXBLT-STQMWFEESA-N
Q106028080	HOTVCUAVDQHUDB-UFYCRDLUSA-N
Q106028084	RFWXYTJSVDUBBZ-DCAQKATOSA-N
Q106028089	CGSOWZUPLOKYOR-AVGNSLFASA-N
Q106028091	PCWLNNZTBJTZRN-AVGNSLFASA-N
Q106028092	QAAYIXYLEMRULP-SRVKXCTJSA-N
Q106028103	WZZSKAJIHTUUSG-ACZMJKKPSA-N
Q106028107	FDMCIBSQRKFSTJ-RHYQMDGZSA-N
Q106028113	OFSZYRZOUMNCCU-BZSNNMDCSA-N
Q106028116	MCPXQHVVCPTRIM-HJOGWXRNSA-N
Q106028119	ZOXBSICWUDAOHX-GUBZILKMSA-N
Q106028125	OOZJHTXCLJUODH-QXEWZRGKSA-N
Q106028126	STGVYUTZKGPRCI-GUBZILKMSA-N
Q106028127	PAQUJCSYVIBPLC-AVGNSLFASA-N
Q106028129	FUOGXAQMNJMBFG-WPRPVWTQSA-N
Q106028130	JRCUFCXYZLPSDZ-ACZMJKKPSA-N
Q106028135	FLQAKQOBSPFGKG-CIUDSAMLSA-N
Q106028143	ZUGXSSFMTXKHJS-ZLUOBGJFSA-N
Q106028156	HBZBPFLJNDXRAY-FXQIFTODSA-N
Q106028163	PVBBEKPHARMPHX-DCAQKATOSA-N
Q106028166	HUFCEIHAFNVSNR-IHRRRGAJSA-N
Q106028178	YLJHCWNDBKKOEB-IHRRRGAJSA-N
Q106028182	XVAUJOAYHWWNQF-ZLUOBGJFSA-N
Q106028188	MTAOBYXRYJZRGQ-WDSKDSINSA-N
Q106028205	HILMIYALTUQTRC-XVKPBYJWSA-N
Q106028212	BYIROAKULFFTEK-CIUDSAMLSA-N
Q106028216	BIHMNDPWRUROFZ-JYJNAYRXSA-N
Q106028226	ZHYMUFQVKGJNRM-ZLUOBGJFSA-N
Q106028253	GWMXFEMMBHOKDX-AVGNSLFASA-N
Q106028255	FMDHKPRACUXATF-ACZMJKKPSA-N
Q106028258	VDVYTKZBMFADQH-AVGNSLFASA-N
Q106028268	YGLCLCMAYUYZSG-AVGNSLFASA-N
Q106028269	YRBGKVIWMNEVCZ-WDSKDSINSA-N
Q106028275	QMOSCLNJVKSHHU-YUMQZZPRSA-N
Q106028276	MIJWOJAXARLEHA-WDSKDSINSA-N
Q106028278	GZFAWAQTEYDKII-YUMQZZPRSA-N
Q106028283	SFTZWNJFZYOLBD-ZDLURKLDSA-N
Q106028309	FUMGHWDRRFCKEP-CIUDSAMLSA-N
Q106028311	UBRMZSHOOIVJPW-SRVKXCTJSA-N
Q106028318	YOTHMZZSJKKEHZ-SZMVWBNQSA-N
Q106028323	JAWGSPUJAXYXJA-IHRRRGAJSA-N
Q106028326	RXJFSLQVMGYQEL-IHRRRGAJSA-N
Q106028328	PMSDOVISAARGAV-FHWLQOOXSA-N
Q106028335	BSXKBOUZDAZXHE-CIUDSAMLSA-N
Q106028336	RHAPJNVNWDBFQI-BQBZGAKWSA-N
Q106028350	QSDKBRMVXSWAQE-BFHQHQDPSA-N
Q106028355	WUXCHQZLUHBSDJ-LKXGYXEUSA-N
Q106028356	OCQUNKSFDYDXBG-QXEWZRGKSA-N
Q106028357	OVSKVOOUFAKODB-UWVGGRQHSA-N
Q106028359	KFMBRBPXHVMDFN-UWVGGRQHSA-N
Q106028362	WKJKBELXHCTHIJ-WPRPVWTQSA-N
Q106028367	STIAINRLUUKYKM-WFBYXXMGSA-N
Q106028384	PQEQXWRVHQAAKS-SRVKXCTJSA-N
Q106028387	XBWMTPAIUQIWKA-BYULHYEWSA-N
Q106028388	RPLLQZBOVIVGMX-QWRGUYRKSA-N
Q106028395	TZOVVRJYUDETQG-RCOVLWMOSA-N
Q106028397	YZACQYVWLCQWBT-BQBZGAKWSA-N
Q106028399	YDWZGVCXMVLDQH-WHFBIAKZSA-N
Q106028401	NMROINAYXCACKF-WHFBIAKZSA-N
Q106028407	LGQZOQRDEUIZJY-YUMQZZPRSA-N
Q106028410	GHHAMXVMWXMGSV-STQMWFEESA-N
Q106028414	GYAUWXXORNTCHU-QWRGUYRKSA-N
Q106028420	DTRUBYPMMVPQPD-YUMQZZPRSA-N
Q106028422	BULIVUZUDBHKKZ-WDSKDSINSA-N
Q106028431	KEGBFULVYKYJRD-LFSVMHDDSA-N
Q106028454	CAGTXGDOIFXLPC-KZVJFYERSA-N
Q106028457	HFXJIZNEXNIZIJ-BQBZGAKWSA-N
Q106028466	YYPFZVIXAVDHIK-IUCAKERBSA-N
Q106028467	ZQIMMEYPEXIYBB-IUCAKERBSA-N
Q106028472	QSVCIFZPGLOZGH-WDSKDSINSA-N
Q106028486	GDOZQTNZPCUARW-YFKPBYRVSA-N
Q106028487	PDAWDNVHMUKWJR-ZETCQYMHSA-N
Q106028498	LMMDEZPNUTZJAY-GCJQMDKQSA-N
Q106028504	QSVMIMFAAZPCAQ-PMVVWTBXSA-N
Q106028511	DENRBIYENOKSEX-PEXQALLHSA-N
Q106028512	QWMPARMKIDVBLV-VZFHVOOUSA-N
Q106028515	FCKPEGOCSVZPNC-WHOFXGATSA-N
Q106028521	XVYKMNXXJXQKME-XEGUGMAKSA-N
Q106028524	IUZGUFAJDBHQQV-YUMQZZPRSA-N
Q106028533	AFWYPMDMDYCKMD-KBPBESRZSA-N
Q106028536	LOEANKRDMMVOGZ-YUMQZZPRSA-N
Q106028544	LKEKWDJCJSPXNI-IRIUXVKKSA-N
Q106028563	FKIGTIXHSRNKJU-IXOXFDKPSA-N
Q106028567	NSVOVKWEKGEOQB-LURJTMIESA-N
Q106028568	ZZJVYSAQQMDIRD-UWVGGRQHSA-N
Q106028571	GLACUWHUYFBSPJ-FJXKBIBVSA-N
Q106028578	LBDXVCBAJJNJNN-WHFBIAKZSA-N
Q106028589	RHRLHXQWHCNJKR-PMVVWTBXSA-N
Q106028592	TZJSEJOXAIWOST-RHYQMDGZSA-N
Q106028596	LHNNQVXITHUCAB-QTKMDUPCSA-N
Q106028601	DNAZKGFYFRGZIH-QWRGUYRKSA-N
Q106028605	GJHWILMUOANXTG-WPRPVWTQSA-N
Q106028612	VEIKMWOMUYMMMK-FCLVOEFKSA-N
Q106028616	BAYQNCWLXIDLHX-ONGXEEELSA-N
Q106028618	SBVMXEZQJVUARN-XPUUQOCRSA-N
Q106028623	MXDOAJQRJBMGMO-FJXKBIBVSA-N
Q106028635	OLFOOYQTTQSSRK-UNQGMJICSA-N
Q106028638	QIVPRLJQQVXCIY-HGNGGELXSA-N
Q106028668	NHQVWACSJZJCGJ-FLBSBUHZSA-N
Q106028670	QZAFGJNKLMNDEM-DCAQKATOSA-N
Q106028675	LECUEEHKUFYOOV-ZJDVBMNYSA-N
Q106028697	UVUIXIVPKVMONA-CIUDSAMLSA-N
Q106028701	OGOYMQWIWHGTGH-KZVJFYERSA-N
Q106028702	XGFYGMKZKFRGAI-RCWTZXSCSA-N
Q106028710	BQYZXYCEKYJKAM-VGDYDELISA-N
Q106028725	HYVLNORXQGKONN-NUTKFTJISA-N
Q106028726	AVYVKJMBNLPWRX-WFBYXXMGSA-N
Q106028727	IIVZNQCUUMBBKF-GVXVVHGQSA-N
Q106028738	PXYJUECTGMGIDT-WDSOQIARSA-N
Q106028742	DGYNAJNQMBFYIF-SZMVWBNQSA-N
Q106028744	DXDMNBJJEXYMLA-UBHSHLNASA-N
Q106028745	HAPWZEVRQYGLSG-IUCAKERBSA-N
Q106028749	RAVLQPXCMRCLKT-KBPBESRZSA-N
Q106028775	JJHWJUYYTWYXPL-PYJNHQTQSA-N
Q106028777	MPXGJGBXCRQQJE-MXAVVETBSA-N
Q106028782	JZHJLBPBQKPTNX-UBHSHLNASA-N
Q106028789	MDDYTWOFHZFABW-SZMVWBNQSA-N
Q106028793	VGYOLSOFODKLSP-IHPCNDPISA-N
Q106028794	KHUFDBQXGLEIHC-BZSNNMDCSA-N
Q106028796	ZJKZLNAECPIUTL-JBACZVJFSA-N
Q106028800	LYDKQVYYCMYNMC-SRVKXCTJSA-N
Q106028808	YXONONCLMLHWJX-SZMVWBNQSA-N
Q106028848	MHCLIYHJRXZBGJ-AAEUAGOBSA-N
Q106028860	KIMOCKLJBXHFIN-YLVFBTJISA-N
Q106028868	WLQRIHCMPFHGKP-PMVMPFDFSA-N
Q106028903	BGWSLEYVITZIQP-DCPHZVHLSA-N
Q106028905	ZHDQRPWESGUDST-JBACZVJFSA-N
Q106028916	UHXOYRWHIQZAKV-SZMVWBNQSA-N
Q106028918	KXIQQAWIPDDVOE-BPUTZDHNSA-N
Q106028923	QUIXRGCMQOXUSV-SZMVWBNQSA-N
Q106028929	GBEAUNVBIMLWIB-IHPCNDPISA-N
Q106028930	ABRICLFKFRFDKS-IHPCNDPISA-N
Q106028934	WBZOZLNLXVBCNW-LTHWPDAASA-N
Q106028937	JKLJVFCPCWMNMZ-UMPQAUOISA-N
Q106028938	YXSSXUIBUJGHJY-SFJXLCSZSA-N
Q106028939	WTRQBSSQBKRNKV-MNSWYVGCSA-N
Q106028940	STKZKWFOKOCSLW-UMPQAUOISA-N
Q106028943	FHHYVSCGOMPLLO-IHPCNDPISA-N
Q106028946	ZPZNQAZHMCLTOA-PXDAIIFMSA-N
Q106028950	XKTWZYNTLXITCY-QRTARXTBSA-N
Q106028953	XQMGDVVKFRLQKH-BBRMVZONSA-N
Q106028963	DLZKEQQWXODGGZ-KWQFWETISA-N
Q106028967	LGEYOIQBBIPHQN-UWJYBYFXSA-N
Q106028969	KSVMDJJCYKIXTK-IGNZVWTISA-N
Q106028979	WPVGRKLNHJJCEN-BZSNNMDCSA-N
Q106028996	CDHQEOXPWBDFPL-QWRGUYRKSA-N
Q106028998	CTDPLKMBVALCGN-JSGCOSHPSA-N
Q106029002	USYGMBIIUDLYHJ-GVARAGBVSA-N
Q106029003	PJWCWGXAVIVXQC-STECZYCISA-N
Q106029009	PRONOHBTMLNXCZ-BZSNNMDCSA-N
Q106029022	UPODKYBYUBTWSV-BZSNNMDCSA-N
Q106029027	SCZJKZLFSSPJDP-ACRUOGEOSA-N
Q106029030	CDBXVDXSLPLFMD-BPNCWPANSA-N
Q106029038	SOEGLGLDSUHWTI-STECZYCISA-N
Q106029040	RCMWNNJFKNDKQR-UFYCRDLUSA-N
Q106029042	YYLHVUCSTXXKBS-IHRRRGAJSA-N
Q106029043	FRMFMFNMGQGMNB-BVSLBCMMSA-N
Q106029049	UMSZZGTXGKHTFJ-SRVKXCTJSA-N
Q106029050	ITDWWLTTWRRLCC-KJEVXHAQSA-N
Q106029052	DTWMJYGOUWNWEC-IHPCNDPISA-N
Q106029053	BXJQKVDPRMLGKN-PMVMPFDFSA-N
Q106029064	AFWXOGHZEKARFH-ACRUOGEOSA-N
Q106029095	BRPKEERLGYNCNC-NHCYSSNCSA-N
Q106029100	RKIGNDAHUOOIMJ-BQFCYCMXSA-N
Q106029101	JTWIMNMUYLQNPI-WPRPVWTQSA-N
Q106029103	BEGDZYNDCNEGJZ-XVKPBYJWSA-N
Q106029104	WFENBJPLZMPVAX-XVKPBYJWSA-N
Q106029106	URIRWLJVWHYLET-ONGXEEELSA-N
Q106029109	XXROXFHCMVXETG-UWVGGRQHSA-N
Q106029119	DJQIUOKSNRBTSV-CYDGBPFRSA-N
Q106029120	FMPUTJLSQLIZJJ-DCAQKATOSA-N
Q106029126	RFKJNTRMXGCKFE-FHWLQOOXSA-N
Q106029128	DIOSYUIWOQCXNR-ONGXEEELSA-N
Q106029129	YMTOEGGOCHVGEH-IHRRRGAJSA-N
Q106029134	LJSZPMSUYKKKCP-UBHSHLNASA-N
Q106029152	LCHZBEUVGAVMKS-RHYQMDGZSA-N
Q106029158	VBTFUDNTMCHPII-FKBYEOEOSA-N
Q106029169	NLNCNKIVJPEFBC-DLOVCJGASA-N
Q106029172	GGMAXEWLXWJGSF-PEWBXTNBSA-N
Q106029174	HAGOYFHDXMPZDS-ADYBDAMASA-N
Q106029175	YQNQEZMFMBODFK-UKAXMGDTSA-N
Q106029183	DXFWBOQUFGDWDP-CMJQBAFXSA-N
Q106029190	DDPFUGIRVJYBMN-SNAWJCMRSA-N
Q106029191	HLVBXSGXJVQJGW-UHFFFAOYSA-N
Q106029192	OQKCUQQTEDLJJP-UHFFFAOYSA-N
Q106029200	VUBQCPVNCMCCJD-JTQLQIEISA-N
Q106029207	FGYHLIHEFHCMPP-FVWOBLMASA-N
Q106029232	KKCIOUWDFWQUBT-UHFFFAOYSA-N
Q106029237	QFZBGCAHQGWTGN-VJIACCKLSA-N
Q106029238	MOQVEROLCMDDKC-KRWDZBQOSA-N
Q106029244	JHNQOAIDMUHKEW-ZDUSSCGKSA-N
Q106029291	VKDFZMMOLPIWQQ-VIFPVBQESA-N
Q106029293	KDXKERNSBIXSRK-LNLMKGTHSA-N
Q106029296	NYCRCTMDYITATC-UHFFFAOYSA-N
Q106029306	ITVFBZXHWIFZDX-UHFFFAOYSA-N
Q106029312	WWJXRJJBIVSSNF-NSCUHMNNSA-N
Q106029315	GNMSLDIYJOSUSW-UHFFFAOYSA-N
Q106029319	LZCXCXDOGAEFQX-UHFFFAOYSA-N
Q106029341	ZYEMKIHYSVDTSN-UHFFFAOYSA-N
Q106029344	NMAOXADCTJAFFT-PJEZTNATSA-N
Q106029345	TXHIPUZLOILIIU-RAJZRIHCSA-N
Q106029348	ZHVSXWCIYWYBQP-QJRAZLAKSA-N
Q106029349	FQUVPTVNRMUOPO-UPQKDGGNSA-N
Q106029350	TXHIPUZLOILIIU-MJYWSMEFSA-N
Q106029353	FTWYAEHEAFBKQR-IBYPIGCZSA-N
Q106029354	CEPUVBUZIGYDKM-MBABXSBOSA-N
Q106029356	NEMXEZCVUJCXDQ-PCXBEVNGSA-N
Q106029359	XAKJNQLDKZLAKM-ZDQMOETHSA-N
Q106029360	JEISZCQAXYJJOO-FQEVSTJZSA-N
Q106029361	LHRFRIVIYPFULZ-QMMMGPOBSA-N
Q106029364	XJODGRWDFZVTKW-UHFFFAOYSA-N
Q106029367	AKRSAXOGLJEIEZ-WDSKDSINSA-N
Q106029372	OKZTWSCTVDMBGE-NSHDSACASA-N
Q106029377	ILRYLPWNYFXEMH-ROLXFIACSA-N
Q106029380	KKXXOATYFASSQO-FHQJQLBYSA-N
Q106029381	HODZDDDNGRLGSI-UHFFFAOYSA-N
Q106029395	PXEORARDVWCTHU-LURJTMIESA-N
Q106029396	GQHFWCNTONFLGX-NSHDSACASA-N
Q106029397	OTUHTIDAACSDJD-DHPKYIKISA-N
Q106029408	ILXTZIAPBIBHND-LURJTMIESA-N
Q106029410	MXNRLFUSFKVQSK-QMMMGPOBSA-N
